Type,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Promoters +,74.36,74.27,74.24,74.23,74.15,73.93,73.90,73.88,73.87,73.85,73.85,73.80
FIIs +,7.97,8.87,9.06,8.92,9.50,9.23,7.14,6.34,6.04,7.22,6.69,5.31
DIIs +,5.83,6.40,6.36,6.68,6.14,5.42,5.20,4.08,8.00,7.69,8.41,10.37
Public +,11.83,10.46,10.34,10.17,10.21,11.41,13.76,15.69,12.10,11.24,11.06,10.51
