Type,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity +,"7,127","11,615","14,751","19,369","19,109","25,223","25,067","28,593","32,369","38,802","39,949","41,965"
Cash from Investing Activity +,"-2,727","-6,038","-9,452","-1,807","-5,010","-16,895","3,104","1,645","8,968","-7,956",-738,548
Cash from Financing Activity +,"-3,955","-5,729","-5,673","-17,168","-9,666","-11,026","-26,885","-27,897","-39,915","-32,634","-33,581","-47,878"
Net Cash Flow,445,-152,-374,394,"4,433","-2,698","1,286","2,341","1,422","-1,788","5,630","-5,365"
