Type,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Promoters +,12.95,12.95,12.95,12.95,13.12,13.12,13.11,13.11,15.16,15.11,15.14,14.94
FIIs +,31.31,32.26,32.67,33.39,33.46,33.17,33.30,31.72,36.20,36.29,35.09,33.44
DIIs +,24.97,23.75,23.10,21.98,15.66,16.31,17.10,18.88,32.13,32.50,33.59,34.58
Government +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.19,0.19,0.20
Public +,30.37,30.66,30.92,31.32,37.41,37.06,36.16,35.98,15.93,15.53,15.67,16.52
Others +,0.40,0.38,0.36,0.36,0.35,0.34,0.33,0.31,0.35,0.34,0.33,0.32
