Type,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity +,336,608,628,642,858,"1,170",844,"1,395","1,644","2,400","3,251","3,095"
Cash from Investing Activity +,-97,-224,180,-103,-40,-961,-452,-749,-643,"-1,657","-1,643",-271
Cash from Financing Activity +,-253,-396,-769,-497,-817,-33,-408,-594,-890,-509,"-1,680","-1,932"
Net Cash Flow,-14,-13,40,42,2,176,-16,52,110,234,-73,892
