Type,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,79,70,69,80,73,66,70,71,78,61,64,62
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,79,70,69,80,73,66,70,71,78,61,64,62
Working Capital Days,60,50,42,72,52,43,60,53,47,38,40,48
ROCE %,,52%,75%,48%,47%,46%,42%,47%,37%,37%,48%,38%
