Type,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,79,75,72,71,71,62,68,62,62,56,53,51
Inventory Days,67,39,28,56,66,,,,,,,
Days Payable,301,572,639,671,597,,,,,,,
Cash Conversion Cycle,-155,-459,-539,-544,-461,62,68,62,62,56,53,51
Working Capital Days,50,24,48,65,60,54,57,29,18,18,33,36
ROCE %,24%,24%,29%,27%,23%,19%,17%,19%,20%,22%,21%,18%
