Type,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Promoters +,74.36,74.31,74.27,74.25,74.09,74.07,74.05,74.03,74.00,68.69,68.68,68.66
FIIs +,11.21,13.29,13.55,13.07,13.25,12.53,10.08,8.42,8.13,9.21,8.41,8.21
DIIs +,6.41,4.59,4.29,4.77,4.72,5.41,7.47,8.10,8.05,10.43,11.61,12.34
Government +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.07,0.04,0.05,0.08
Public +,8.02,7.81,7.89,7.91,7.94,7.99,8.40,9.41,9.74,11.61,11.22,10.71
Others +,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01
