Type,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,86,82,81,79,81,70,74,68,71,67,80,81
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,86,82,81,79,81,70,74,68,71,67,80,81
Working Capital Days,45,70,52,33,62,63,61,70,67,62,36,33
ROCE %,51%,53%,57%,51%,51%,44%,39%,48%,47%,49%,55%,59%
