Type,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023
Promoters +,72.05,72.05,72.19,72.19,72.19,72.19,72.30,72.30,72.30,72.30,72.30,72.30
FIIs +,16.00,15.88,15.62,15.43,15.37,14.98,14.15,13.50,13.05,12.94,12.72,12.46
DIIs +,7.85,7.71,7.83,7.97,7.89,7.93,7.81,8.36,8.53,9.25,9.58,9.80
Government +,0.07,0.07,0.06,0.04,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05
Public +,4.03,4.29,4.31,4.38,4.51,4.86,5.70,5.80,6.06,5.45,5.36,5.38
