Type,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Cash from Operating Activity +,"2,418","4,492","6,457","5,539","3,823","8,995","8,328","8,971","13,359","19,618","16,900","18,009"
Cash from Investing Activity +,"-1,026","-2,361","-4,842","-2,088","-2,208","-3,890","-2,236","-3,256","-12,332","-5,665","1,597","-3,573"
Cash from Financing Activity +,"-1,239","-2,086","-1,308","-3,140","-2,237","-4,517","-5,714","-1,471","-3,168","-11,192","-14,508","-15,881"
Net Cash Flow,153,44,307,311,-623,588,378,"4,244","-2,141","2,761","3,989","-1,445"
