Type,Jun 2012,Jun 2013,Jun 2014,Jun 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,68,64,65,65,91,64,70,71,73,85,88,92
Inventory Days,,,,,,,,,,,,
Days Payable,,,,,,,,,,,,
Cash Conversion Cycle,68,64,65,65,91,64,70,71,73,85,88,92
Working Capital Days,9,15,10,29,64,38,59,49,27,52,48,47
ROCE %,31%,41%,46%,40%,28%,34%,31%,31%,27%,26%,25%,28%
