datetime,stock_code,open,high,low,close,volume
2007-01-02 12:01:00,RELIND,318.47,321,317.37,319.85,1149902
2007-01-03 12:01:00,RELIND,320.81,322.2,318.55,320.71,1489730
2007-01-04 12:01:00,RELIND,321.98,324.33,318.94,319.76,3022423
2007-01-05 12:01:00,RELIND,318.47,327.14,318.47,321.55,3047126
2007-01-08 12:01:00,RELIND,322.92,322.92,316.5,318.9,2191355
2007-01-09 12:01:00,RELIND,323.11,323.11,317.77,319.24,2561246
2007-01-10 12:01:00,RELIND,318.47,322.2,315.91,318.04,4813168
2007-01-12 12:01:00,RELIND,326.37,334.88,323.16,333.59,4479089
2007-01-15 12:01:00,RELIND,339.52,341.2,335.11,339.55,3217452
2007-01-16 12:01:00,RELIND,340.03,341.2,334.66,335.33,1793509
2007-01-17 12:01:00,RELIND,337.92,338.86,334.91,336.01,1564256
2007-01-18 12:01:00,RELIND,337.22,344.18,335.81,340.13,3531763
2007-01-19 12:01:00,RELIND,354.33,354.33,341.73,343.72,6458817
2007-01-22 12:01:00,RELIND,344.25,346.58,340.98,341.64,1567523
2007-01-23 12:01:00,RELIND,340.98,343.25,337.84,338.52,1213863
2007-01-24 12:01:00,RELIND,341.77,341.77,338.45,340.62,1682940
2007-01-25 12:01:00,RELIND,343.01,343.01,338.99,340.88,2529979
2007-01-29 12:01:00,RELIND,340.73,346.34,339.62,343.62,1691270
2007-01-31 12:01:00,RELIND,344.47,345.19,338.06,339.9,2700046
2007-02-01 12:02:00,RELIND,340.27,344.02,339.34,342.52,919579
2007-02-02 12:02:00,RELIND,343.95,346.29,340.28,341.92,1631888
2007-02-05 12:02:00,RELIND,343.08,345.66,341.2,344.8,962858
2007-02-06 12:02:00,RELIND,331.36,349.64,331.36,345.23,1756515
2007-02-07 12:02:00,RELIND,347.3,347.72,343.37,346.57,1527047
2007-02-08 12:02:00,RELIND,347.05,348.47,343.31,347.07,1002039
2007-02-09 12:02:00,RELIND,347.88,349.36,340.73,345.84,1538248
2007-02-12 12:02:00,RELIND,344.72,344.72,336.8,338.14,1268179
2007-02-13 12:02:00,RELIND,337.45,344.25,334.17,339.8,1443752
2007-02-14 12:02:00,RELIND,339.6,344.65,334.23,342.39,1421621
2007-02-15 12:02:00,RELIND,343.66,350.98,343.66,349.39,2044494
2007-02-19 12:02:00,RELIND,350.11,354.8,350.11,352.63,1562912
2007-02-20 12:02:00,RELIND,354.56,358.17,350.17,351.19,3280207
2007-02-21 12:02:00,RELIND,345.66,353.63,345.66,349.35,1527424
2007-02-22 12:02:00,RELIND,351.28,353.85,347.77,350.59,3719836
2007-02-23 12:02:00,RELIND,353.39,358.01,348.26,350.87,3751615
2007-02-27 12:02:00,RELIND,325.52,351.3,325.52,349.04,2988590
2007-02-28 12:02:00,RELIND,336.07,343.08,331.63,336.63,7056818
2007-03-01 12:03:00,RELIND,341.91,341.91,328.79,340.21,3952391
2007-03-02 12:03:00,RELIND,340.97,340.97,326.2,328.13,4747034
2007-03-05 12:03:00,RELIND,324.33,324.56,312.19,314.8,5389119
2007-03-06 12:03:00,RELIND,318.23,325.95,315.73,323.82,3553116
2007-03-07 12:03:00,RELIND,326.91,331.13,315.21,321.67,3450264
2007-03-08 12:03:00,RELIND,328.78,333.7,321.98,332.66,3345797
2007-03-09 12:03:00,RELIND,333.23,336,325.5,328.59,2411381
2007-03-12 12:03:00,RELIND,331.34,332.44,325.97,328.01,2156009
2007-03-13 12:03:00,RELIND,328.01,331.76,325.56,330.6,1581553
2007-03-14 12:03:00,RELIND,326.44,326.44,315.25,320.89,2687015
2007-03-15 12:03:00,RELIND,324.09,326.65,319.41,320.44,2859247
2007-03-19 12:03:00,RELIND,324.59,328.55,323.65,327.5,1180894
2007-03-20 12:03:00,RELIND,328.55,332.53,328.08,329.71,1172767
2007-03-21 12:03:00,RELIND,329.02,334.59,325.5,333.7,1198964
2007-03-22 12:03:00,RELIND,335.34,343.07,335.34,341.96,2414019
2007-03-26 12:03:00,RELIND,343.78,343.78,336.05,339.46,1473727
2007-03-28 12:03:00,RELIND,338.39,341.67,334.3,336.05,2133169
2007-03-29 12:03:00,RELIND,339.33,340.5,335.11,337.73,2648059
2007-03-30 12:03:00,RELIND,338.39,341.88,336.8,340.8,2645527
2007-04-02 12:04:00,RELIND,337.22,338.11,325.56,327.6,3290334
2007-04-03 12:04:00,RELIND,329.13,335.11,326.55,333.88,2661129
2007-04-04 12:04:00,RELIND,335.58,340.49,335.51,339.15,1990052
2007-04-05 12:04:00,RELIND,339.09,339.52,336.56,338.12,1213467
2007-04-09 12:04:00,RELIND,339.56,344.95,338.86,344.09,1111931
2007-04-10 12:04:00,RELIND,345.3,345.42,340.88,344.11,1325433
2007-04-11 12:04:00,RELIND,344.29,347.39,342.39,344.63,1677682
2007-04-12 12:04:00,RELIND,344.02,346.13,341.26,344.84,1099116
2007-04-13 12:04:00,RELIND,341.96,351.49,341.96,350.57,1520073
2007-04-16 12:04:00,RELIND,352.01,362.77,351.81,361.3,1697452
2007-04-17 12:04:00,RELIND,363,368.39,360.04,365.53,3820017
2007-04-18 12:04:00,RELIND,364.88,370.24,364.88,367.77,2291918
2007-04-19 12:04:00,RELIND,363.06,371.09,361.97,369.41,2200255
2007-04-20 12:04:00,RELIND,370.03,381.75,370.03,380.92,2386403
2007-04-23 12:04:00,RELIND,381.28,385.27,377.13,383.93,2501245
2007-04-24 12:04:00,RELIND,383.86,392.2,380.82,390.64,2380022
2007-04-25 12:04:00,RELIND,390.42,394.64,385.97,394.27,2062547
2007-04-26 12:04:00,RELIND,396.98,400.88,390.89,393.9,6204641
2007-04-30 12:04:00,RELIND,382.88,388.08,371.44,385.51,2385514
2007-05-03 12:05:00,RELIND,388.78,401.67,388.78,400.77,3685012
2007-05-04 12:05:00,RELIND,401.73,403.08,389.27,390.69,3685098
2007-05-07 12:05:00,RELIND,395.81,398.86,393.7,396.16,2832701
2007-05-08 12:05:00,RELIND,396.63,398.02,392.3,393.04,2145696
2007-05-09 12:05:00,RELIND,392.3,394.64,388.43,394.23,2307786
2007-05-10 12:05:00,RELIND,396.28,396.94,388.78,390.28,1810733
2007-05-11 12:05:00,RELIND,383.16,394.64,378.53,392.09,3365965
2007-05-14 12:05:00,RELIND,396.98,400.97,395.81,399.39,1910033
2007-05-15 12:05:00,RELIND,399.45,400.71,393.12,394.29,3468852
2007-05-16 12:05:00,RELIND,394.88,405.89,394.31,402.77,2843184
2007-05-17 12:05:00,RELIND,405.21,415.68,405.21,414.62,2854239
2007-05-18 12:05:00,RELIND,414.52,419.48,411.07,417.71,2318273
2007-05-21 12:05:00,RELIND,420.42,434.48,419.06,432.36,3239284
2007-05-22 12:05:00,RELIND,434.25,438,427.02,436.65,3931802
2007-05-23 12:05:00,RELIND,436.83,441,429.8,431.24,1603841
2007-05-24 12:05:00,RELIND,429.81,432.14,422.07,424.45,2824875
2007-05-25 12:05:00,RELIND,418.37,426.75,418.34,424.65,2419081
2007-05-28 12:05:00,RELIND,427.43,429.8,421.9,423.68,1540056
2007-05-29 12:05:00,RELIND,423.23,434.02,421.08,431.41,2321445
2007-05-30 12:05:00,RELIND,429.8,436.83,427.95,430.46,3083875
2007-06-01 12:06:00,RELIND,435.14,436.8,429.18,430.09,1504954
2007-06-04 12:06:00,RELIND,434.25,434.25,427.11,427.91,1394408
2007-06-05 12:06:00,RELIND,427.22,430.03,423.27,428.72,1810873
2007-06-06 12:06:00,RELIND,430.03,431.67,413.93,416.04,2727682
2007-06-07 12:06:00,RELIND,411.75,419.67,408.7,410.85,2589690
2007-06-08 12:06:00,RELIND,409.64,417.57,405.68,408.01,3453696
2007-06-11 12:06:00,RELIND,441.52,441.52,408.76,410.14,2155325
2007-06-12 12:06:00,RELIND,412.2,420.86,409.34,417.82,2972202
2007-06-13 12:06:00,RELIND,417.68,420.38,411.05,412.31,2240665
2007-06-14 12:06:00,RELIND,414.8,418.78,414.56,417.15,1996192
