datetime,open,high,low,close,adj close,volume
2007-01-02,3966.25,4016.65,3964.95,4007.4,4007.4,277443911
2007-01-03,4007.7,4029.8,3985.0,4024.05,4024.05,336972857
2007-01-04,4027.3,4041.0,3979.8,3988.8,3988.8,369793444
2007-01-05,3990.15,4011.45,3969.65,3983.4,3983.4,363396365
2007-01-08,3983.3,3987.45,3913.0,3933.4,3933.4,345887697
2007-01-09,3933.3,3963.75,3890.75,3911.4,3911.4,399069534
2007-01-10,3910.95,3911.95,3841.7,3850.3,3850.3,470122195
2007-01-12,3944.55,4059.15,3944.55,4052.45,4052.45,562745428
2007-01-15,4052.85,4099.65,4052.4,4078.4,4078.4,519304287
2007-01-16,4090.7,4107.45,4067.9,4080.5,4080.5,529853418
2007-01-17,4084.9,4096.75,4071.55,4076.45,4076.45,533255865
2007-01-18,4075.2,4140.25,4075.2,4109.05,4109.05,585093104
2007-01-19,4126.0,4137.15,4058.35,4090.15,4090.15,422526593
2007-01-22,4089.6,4114.5,4069.95,4102.45,4102.45,378459073
2007-01-23,4102.65,4105.1,4056.45,4066.1,4066.1,400057324
2007-01-24,4066.6,4098.25,4065.75,4089.9,4089.9,400148883
2007-01-25,4092.05,4157.95,4090.1,4147.7,4147.7,524574773
2007-01-29,4148.4,4167.15,4115.75,4124.45,4124.45,391021532
2007-01-31,4123.85,4137.85,4068.55,4082.7,4082.7,455866905
2007-02-01,4083.4,4141.6,4081.1,4137.2,4137.2,393494286
2007-02-02,4140.2,4198.7,4132.95,4183.5,4183.5,457317404
2007-02-05,4193.15,4219.0,4170.0,4215.35,4215.35,528711124
2007-02-06,4216.55,4228.15,4186.15,4195.9,4195.9,597908869
2007-02-07,4198.2,4232.3,4192.85,4224.25,4224.25,555567289
2007-02-08,4232.0,4245.3,4188.45,4223.4,4223.4,466303879
2007-02-09,4223.5,4239.2,4171.8,4187.4,4187.4,485592302
2007-02-12,4187.2,4187.2,4044.35,4058.3,4058.3,482197819
2007-02-13,4069.1,4132.7,3998.3,4044.55,4044.55,495793171
2007-02-14,4044.9,4057.35,3965.2,4047.1,4047.1,437353293
2007-02-15,4046.8,4155.7,4046.8,4146.2,4146.2,474809964
2007-02-19,4149.25,4177.7,4149.25,4164.55,4164.55,381747829
2007-02-20,4164.85,4175.45,4099.55,4106.95,4106.95,372112098
2007-02-21,4107.15,4132.8,4080.9,4096.2,4096.2,438430887
2007-02-22,4096.65,4126.9,4023.15,4040.0,4040.0,522165791
2007-02-23,4046.0,4065.45,3918.2,3938.95,3938.95,524935570
2007-02-27,3948.05,3958.0,3873.85,3893.9,3893.9,404244314
2007-02-28,3893.4,3893.4,3674.85,3745.3,3745.3,566851862
2007-03-01,3745.4,3818.75,3718.15,3811.2,3811.2,553669621
2007-03-02,3811.65,3842.05,3711.05,3726.75,3726.75,412833494
2007-03-05,3726.5,3726.65,3554.5,3576.5,3576.5,411639707
2007-03-06,3577.15,3679.15,3576.65,3655.65,3655.65,450037350
2007-03-07,3661.55,3714.15,3568.55,3626.85,3626.85,423758164
2007-03-08,3627.25,3779.5,3626.8,3761.65,3761.65,424067032
2007-03-09,3761.85,3795.7,3684.25,3718.0,3718.0,572289424
2007-03-12,3717.45,3781.45,3713.9,3734.6,3734.6,463261648
2007-03-13,3735.25,3775.85,3717.15,3770.55,3770.55,359892563
2007-03-14,3768.4,3768.4,3623.0,3641.1,3641.1,342322027
2007-03-15,3644.9,3711.05,3630.55,3643.6,3643.6,326846169
2007-03-19,3611.3,3683.35,3602.85,3678.9,3678.9,280959509
2007-03-20,3680.35,3725.0,3676.65,3697.6,3697.6,300398192
2007-03-21,3697.7,3771.2,3680.6,3764.55,3764.55,273498339
2007-03-22,3764.5,3881.0,3764.5,3875.9,3875.9,383697318
2007-03-26,3863.45,3885.45,3768.25,3819.95,3819.95,332777600
2007-03-28,3818.75,3830.3,3752.95,3761.1,3761.1,386850213
2007-03-29,3759.15,3805.85,3750.35,3798.1,3798.1,471319424
2007-03-30,3788.85,3832.2,3785.3,3821.55,3821.55,352593189
2007-04-02,3820.0,3820.0,3617.0,3633.6,3633.6,324897170
2007-04-03,3633.85,3703.05,3632.2,3690.65,3690.65,310705061
2007-04-04,3689.75,3751.4,3689.75,3733.25,3733.25,309387456
2007-04-05,3735.2,3771.45,3709.15,3752.0,3752.0,423126698
2007-04-09,3752.9,3850.9,3747.25,3843.5,3843.5,342598395
2007-04-10,3844.15,3858.35,3819.3,3848.15,3848.15,394249580
2007-04-11,3848.35,3876.35,3844.75,3862.65,3862.65,380504123
2007-04-12,3861.85,3861.85,3811.25,3829.85,3829.85,342937224
2007-04-13,3830.35,3924.55,3828.45,3917.35,3917.35,367911896
2007-04-16,3920.5,4016.8,3920.5,4013.35,4013.35,382301481
2007-04-17,4014.4,4030.0,3976.25,3984.95,3984.95,376270395
2007-04-18,3989.6,4039.25,3981.75,4011.6,4011.6,404059931
2007-04-19,3998.5,4011.0,3933.35,3997.65,3997.65,367058426
2007-04-20,4000.25,4090.05,3995.5,4083.55,4083.55,399939962
2007-04-23,4083.55,4122.35,4075.2,4085.1,4085.1,383744660
