open,high,low,close,volume
4593.1,4624.3,4570.8,4619.8,581182198
4618.65,4618.9,4424.25,4445.2,550064899
4442.35,4493.05,4403.7,4440.05,418819341
4444.25,4534.2,4432.85,4528.85,423670664
4528.85,4532.9,4339.75,4345.85,434386119
4356.35,4399.75,4327.0,4356.35,373752838
4355.75,4428.1,4355.75,4401.55,372096821
4404.05,4404.05,4267.15,4339.5,404456682
4341.5,4406.4,4341.5,4356.35,418441938
4357.0,4472.15,4356.75,4462.1,458442835
4462.25,4530.05,4390.8,4403.2,506938334
4324.65,4383.8,4324.65,4373.65,418760500
4373.9,4394.3,4354.35,4370.2,427132156
4366.0,4366.0,4171.15,4178.6,529571124
4171.1,4171.1,4002.2,4108.05,664719837
4108.95,4262.6,4108.95,4209.05,466498293
4209.55,4238.1,4058.55,4074.9,654574138
4081.25,4165.7,4040.15,4153.15,526899713
4160.1,4249.85,4100.8,4114.95,544433457
4113.05,4201.45,4110.05,4190.15,379447993
4193.6,4310.0,4193.6,4302.6,372801388
4302.4,4329.15,4280.6,4320.7,410972246
4317.7,4368.6,4226.35,4359.3,519769431
4360.35,4422.3,4359.75,4412.3,617174328
4412.6,4471.3,4403.0,4464.0,599641647
4466.65,4490.55,4452.4,4474.75,618925437
4481.55,4501.3,4460.4,4479.25,602861876
4479.6,4507.75,4458.55,4475.85,532455011
4475.7,4522.5,4445.55,4518.6,494735016
4518.65,4547.75,4499.9,4509.5,509107821
4506.85,4515.25,4452.95,4507.85,505568862
4509.65,4538.6,4487.15,4497.05,603590208
4498.65,4531.5,4490.4,4496.85,621081930
4498.05,4540.6,4498.05,4528.95,574967845
4530.0,4582.6,4508.85,4518.0,614962436
4518.45,4549.05,4482.85,4494.65,481724644
4494.1,4551.8,4481.55,4546.2,548134123
4550.25,4739.0,4550.25,4732.35,687929907
4734.85,4760.85,4721.15,4747.55,676821365
4752.95,4855.7,4733.7,4837.55,1014615209
4837.15,4941.15,4837.15,4932.2,1125604517
4939.1,4953.9,4878.15,4938.85,1095581617
4937.6,4980.85,4930.35,4940.5,1135297587
4942.7,5016.4,4942.7,5000.55,1017044877
4996.45,5055.8,4996.45,5021.35,918675210
5021.5,5089.3,5001.35,5068.95,793686767
5069.0,5261.35,5034.15,5210.8,987419895
5211.65,5233.1,5126.05,5208.65,762791451
5208.15,5248.55,5164.5,5185.85,1130699538
5186.25,5249.3,5024.75,5085.1,752064888
5062.65,5348.7,5000.95,5327.25,857454137
