datetime,PP,R1,S1,R2,S2,R3,S3
2007-01-31,4030.5166666666664,4219.333333333333,3893.883333333333,4355.966666666666,3705.0666666666666,4544.783333333333,3568.4333333333334
2007-02-28,3888.4833333333336,4102.116666666667,3531.666666666667,4458.933333333334,3318.0333333333333,4672.5666666666675,2961.2166666666667
2007-03-31,3753.8333333333335,3953.166666666667,3622.216666666667,4084.783333333333,3422.8833333333337,4284.116666666667,3291.2666666666673
2007-04-30,3974.2666666666664,4331.533333333333,3730.633333333333,4575.166666666666,3373.366666666667,4932.4333333333325,3129.7333333333336
2007-05-31,4177.466666666666,4373.783333333333,4053.333333333332,4497.916666666666,3857.016666666666,4694.233333333333,3732.883333333332
2007-06-30,4260.683333333333,4420.566666666667,4158.416666666667,4522.833333333333,3998.5333333333338,4682.716666666666,3896.2666666666673
2007-07-31,4493.6,4683.200000000001,4339.250000000001,4837.549999999999,4149.650000000001,5027.150000000001,3995.300000000001
2007-08-31,4333.033333333333,4663.866666666666,4133.166666666666,4863.733333333333,3802.333333333333,5194.566666666666,3602.4666666666662
2007-09-30,4840.900000000001,5236.250000000001,4626.000000000001,5451.150000000001,4230.650000000001,5846.500000000001,4015.750000000001
2007-10-31,5625.866666666666,6250.783333333332,5275.733333333332,6600.916666666665,4650.816666666666,7225.833333333332,4300.683333333332
2007-11-30,5723.016666666666,6051.6833333333325,5434.083333333333,6340.616666666667,5105.416666666667,6669.283333333332,4816.483333333334
2007-12-31,6011.533333333333,6312.466666666665,5837.666666666666,6486.333333333332,5536.733333333334,6787.266666666665,5362.866666666667
2008-01-31,5314.349999999999,6180.199999999999,4271.5999999999985,7222.950000000001,3405.749999999999,8088.799999999999,2362.999999999998
2008-02-29,5190.766666666666,5577.9333333333325,4836.333333333333,5932.366666666667,4449.166666666667,6319.533333333332,4094.7333333333336
2008-03-31,4808.616666666667,5148.683333333333,4394.433333333333,5562.866666666668,4054.366666666667,5902.933333333333,3640.1833333333334
2008-04-30,5008.466666666666,5388.1833333333325,4786.1833333333325,5610.466666666667,4406.466666666666,5990.1833333333325,4184.1833333333325
2008-05-31,5017.616666666667,5199.583333333334,4736.383333333333,5480.8166666666675,4554.416666666666,5662.783333333335,4273.1833333333325
2008-06-30,4267.183333333333,4512.666666666667,3795.0666666666666,4984.783333333334,3549.583333333333,5230.266666666667,3077.4666666666662
2008-07-31,4220.866666666666,4651.533333333332,3902.283333333332,4970.116666666666,3471.616666666666,5400.783333333332,3153.033333333332
2008-08-31,4403.900000000001,4605.950000000001,4157.950000000001,4851.9,3955.9000000000005,5053.950000000001,3709.9500000000007
2008-09-30,4064.75,4414.45,3571.5,4907.7,3221.8,5257.4,2728.55
2008-10-31,3046.2833333333333,3839.8166666666666,2092.0666666666666,4794.033333333333,1298.5333333333333,5587.566666666667,344.3166666666666
2008-11-30,2832.8500000000004,3162.8000000000006,2425.1500000000005,3570.5000000000005,2095.2000000000003,3900.4500000000007,1687.5000000000005
2008-12-31,2886.883333333333,3203.0666666666666,2663.3166666666666,3426.633333333333,2347.133333333333,3742.8166666666666,2123.5666666666666
2009-01-31,2894.5500000000006,3127.450000000001,2641.9000000000015,3380.1,2409.000000000001,3613.000000000001,2156.3500000000017
2009-02-28,2803.65,2929.75,2637.55,3095.8499999999995,2511.4500000000003,3221.95,2345.3500000000004
2009-03-31,2894.5833333333335,3249.716666666667,2665.816666666667,3478.4833333333336,2310.6833333333334,3833.6166666666672,2081.916666666667
2009-04-30,3281.7666666666664,3597.833333333333,3046.283333333333,3833.3166666666666,2730.2166666666662,4149.383333333333,2494.7333333333327
2009-05-31,4145.683333333333,4812.666666666667,3781.966666666667,5176.383333333332,3114.9833333333336,5843.366666666667,2751.2666666666673
2009-06-30,4409.133333333334,4675.016666666668,4125.066666666668,4959.083333333334,3859.1833333333343,5224.966666666668,3575.1166666666686
2009-07-31,4426.766666666666,4879.4333333333325,4183.783333333333,5122.416666666666,3731.1166666666663,5575.083333333333,3488.1333333333328
