===============================================================================
Id,testing,len,datetime,open,high,low,close,volume,openinterest,adjclose,MyStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
11,testing,11,2007-01-17 23:59:59.999989,4084.9,4096.75,4071.55,4076.45,533255865.0,0.0,4076.45,MyStrategy,11,732693.9999999999,Broker,11,10000.0,10000.0,BuySell,11,,,Trades - Net Profit/Loss,11,,
12,testing,12,2007-01-18 23:59:59.999989,4075.2,4140.25,4075.2,4109.05,585093104.0,0.0,4109.05,MyStrategy,12,732694.9999999999,Broker,12,10000.0,10000.0,BuySell,12,,,Trades - Net Profit/Loss,12,,
13,testing,13,2007-01-19 23:59:59.999989,4126.0,4137.15,4058.35,4090.15,422526593.0,0.0,4090.15,MyStrategy,13,732695.9999999999,Broker,13,10000.0,10000.0,BuySell,13,,,Trades - Net Profit/Loss,13,,
14,testing,14,2007-01-22 23:59:59.999989,4089.6,4114.5,4069.95,4102.45,378459073.0,0.0,4102.45,MyStrategy,14,732698.9999999999,Broker,14,10000.0,10000.0,BuySell,14,,,Trades - Net Profit/Loss,14,,
15,testing,15,2007-01-23 23:59:59.999989,4102.65,4105.1,4056.45,4066.1,400057324.0,0.0,4066.1,MyStrategy,15,732699.9999999999,Broker,15,10000.0,10000.0,BuySell,15,,,Trades - Net Profit/Loss,15,,
16,testing,16,2007-01-24 23:59:59.999989,4066.6,4098.25,4065.75,4089.9,400148883.0,0.0,4089.9,MyStrategy,16,732700.9999999999,Broker,16,10000.0,10000.0,BuySell,16,,,Trades - Net Profit/Loss,16,,
17,testing,17,2007-01-25 23:59:59.999989,4092.05,4157.95,4090.1,4147.7,524574773.0,0.0,4147.7,MyStrategy,17,732701.9999999999,Broker,17,10000.0,10000.0,BuySell,17,,,Trades - Net Profit/Loss,17,,
18,testing,18,2007-01-29 23:59:59.999989,4148.4,4167.15,4115.75,4124.45,391021532.0,0.0,4124.45,MyStrategy,18,732705.9999999999,Broker,18,10000.0,10000.0,BuySell,18,,,Trades - Net Profit/Loss,18,,
19,testing,19,2007-01-31 23:59:59.999989,4123.85,4137.85,4068.55,4082.7,455866905.0,0.0,4082.7,MyStrategy,19,732707.9999999999,Broker,19,10000.0,10000.0,BuySell,19,,,Trades - Net Profit/Loss,19,,
20,testing,20,2007-02-01 23:59:59.999989,4083.4,4141.6,4081.1,4137.2,393494286.0,0.0,4137.2,MyStrategy,20,732708.9999999999,Broker,20,10000.0,10000.0,BuySell,20,,,Trades - Net Profit/Loss,20,,
21,testing,21,2007-02-02 23:59:59.999989,4140.2,4198.7,4132.95,4183.5,457317404.0,0.0,4183.5,MyStrategy,21,732709.9999999999,Broker,21,10000.0,10000.0,BuySell,21,,,Trades - Net Profit/Loss,21,,
22,testing,22,2007-02-05 23:59:59.999989,4193.15,4219.0,4170.0,4215.35,528711124.0,0.0,4215.35,MyStrategy,22,732712.9999999999,Broker,22,10000.0,10000.0,BuySell,22,,,Trades - Net Profit/Loss,22,,
23,testing,23,2007-02-06 23:59:59.999989,4216.55,4228.15,4186.15,4195.9,597908869.0,0.0,4195.9,MyStrategy,23,732713.9999999999,Broker,23,10000.0,10000.0,BuySell,23,,,Trades - Net Profit/Loss,23,,
24,testing,24,2007-02-07 23:59:59.999989,4198.2,4232.3,4192.85,4224.25,555567289.0,0.0,4224.25,MyStrategy,24,732714.9999999999,Broker,24,10000.0,10000.0,BuySell,24,,,Trades - Net Profit/Loss,24,,
25,testing,25,2007-02-08 23:59:59.999989,4232.0,4245.3,4188.45,4223.4,466303879.0,0.0,4223.4,MyStrategy,25,732715.9999999999,Broker,25,10000.0,10000.0,BuySell,25,,,Trades - Net Profit/Loss,25,,
26,testing,26,2007-02-09 23:59:59.999989,4223.5,4239.2,4171.8,4187.4,485592302.0,0.0,4187.4,MyStrategy,26,732716.9999999999,Broker,26,10000.0,10000.0,BuySell,26,,,Trades - Net Profit/Loss,26,,
27,testing,27,2007-02-12 23:59:59.999989,4187.2,4187.2,4044.35,4058.3,482197819.0,0.0,4058.3,MyStrategy,27,732719.9999999999,Broker,27,10000.0,10000.0,BuySell,27,,,Trades - Net Profit/Loss,27,,
28,testing,28,2007-02-13 23:59:59.999989,4069.1,4132.7,3998.3,4044.55,495793171.0,0.0,4044.55,MyStrategy,28,732720.9999999999,Broker,28,10000.0,10000.0,BuySell,28,,,Trades - Net Profit/Loss,28,,
29,testing,29,2007-02-14 23:59:59.999989,4044.9,4057.35,3965.2,4047.1,437353293.0,0.0,4047.1,MyStrategy,29,732721.9999999999,Broker,29,10000.0,10000.0,BuySell,29,,,Trades - Net Profit/Loss,29,,
30,testing,30,2007-02-15 23:59:59.999989,4046.8,4155.7,4046.8,4146.2,474809964.0,0.0,4146.2,MyStrategy,30,732722.9999999999,Broker,30,10000.0,10000.0,BuySell,30,,,Trades - Net Profit/Loss,30,,
31,testing,31,2007-02-19 23:59:59.999989,4149.25,4177.7,4149.25,4164.55,381747829.0,0.0,4164.55,MyStrategy,31,732726.9999999999,Broker,31,10000.0,10000.0,BuySell,31,,,Trades - Net Profit/Loss,31,,
32,testing,32,2007-02-20 23:59:59.999989,4164.85,4175.45,4099.55,4106.95,372112098.0,0.0,4106.95,MyStrategy,32,732727.9999999999,Broker,32,10000.0,10000.0,BuySell,32,,,Trades - Net Profit/Loss,32,,
